lambda_um,width_um,height_um,n_eff_TE,n_eff_TM
0.75,1.1,0.95,1.9750838825713,1.97356388510562
0.75,1.1,0.975,1.97641566393182,1.97516014486449
0.75,1.1,1,1.97774895816819,1.97670524065262
0.75,1.125,0.6,1.9443872999773,1.93266224579348
0.75,1.125,0.625,1.94806735445862,1.93774120128147
0.75,1.125,0.65,1.95145163587615,1.94233140683232
0.75,1.125,0.675,1.95451229520629,1.94647851927365
0.75,1.125,0.7,1.95734205167749,1.95024922900224
0.75,1.125,0.725,1.95991295583024,1.9536752921752
0.75,1.125,0.75,1.96230163167928,1.95680796443389
0.75,1.125,0.775,1.96449495434327,1.95967388673594
0.75,1.125,0.8,1.96652203453254,1.962303414126
0.75,1.125,0.825,1.96840025583871,1.96472238981656
0.75,1.125,0.85,1.97014552418457,1.96695374472564
0.75,1.125,0.875,1.97177289983095,1.96901821209324
0.75,1.125,0.9,1.97329743660635,1.9709351265872
0.75,1.125,0.925,1.97473543686179,1.97272345602121
0.75,1.125,0.95,1.97610652738694,1.97440334701742
0.75,1.125,0.975,1.97743742861819,1.97599879241433
0.75,1.125,1,1.97876954269482,1.97754292916685
0.75,1.15,0.6,1.9453654848245,1.93347585797106
0.75,1.15,0.625,1.9490497677819,1.93856430337992
0.75,1.15,0.65,1.95242639889065,1.94314196628424
0.75,1.15,0.675,1.95549074188117,1.94729701547127
0.75,1.15,0.7,1.95831383726196,1.95105716243057
0.75,1.15,0.725,1.96088797016915,1.95448999010803
0.75,1.15,0.75,1.96327083723665,1.95761364656561
0.75,1.15,0.775,1.96546298497031,1.96047855510046
0.75,1.15,0.8,1.96748896498302,1.96310713908622
0.75,1.15,0.825,1.96936615048627,1.96552523287656
0.75,1.15,0.85,1.97111043547598,1.96775575792251
0.75,1.15,0.875,1.97273686535108,1.96981943657645
0.75,1.15,0.9,1.97426047378924,1.9717355898762
0.75,1.15,0.925,1.97569753350831,1.97352316700385
0.75,1.15,0.95,1.97706762416004,1.97520228681223
0.75,1.15,0.975,1.97839738460162,1.97679689691458
0.75,1.15,1,1.97972806020409,1.97834005264146
0.75,1.175,0.6,1.94627887156376,1.93423681546823
0.75,1.175,0.625,1.9499565345053,1.93931366375168
0.75,1.175,0.65,1.9533381123388,1.94390027655255
0.75,1.175,0.675,1.95639667567231,1.94804559435167
0.75,1.175,0.7,1.95922407897092,1.95181318370944
0.75,1.175,0.725,1.96179315680966,1.95523773996651
0.75,1.175,0.75,1.96417978633341,1.95836769617362
0.75,1.175,0.775,1.9663713296608,1.96123171280595
0.75,1.175,0.8,1.96839673776243,1.96385946566529
0.75,1.175,0.825,1.97027337749932,1.9662767819594
0.75,1.175,0.85,1.97201713512315,1.96850657549837
0.75,1.175,0.875,1.97364304573361,1.97056955982909
0.75,1.175,0.9,1.97516612821887,1.97248504488912
0.75,1.175,0.925,1.97660263259209,1.97427196447082
0.75,1.175,0.95,1.97797210133283,1.97595041399685
0.75,1.175,0.975,1.97930110775026,1.97754430190919
0.75,1.175,1,1.98063076953288,1.97908661081207
0.75,1.2,0.6,1.94714714144822,1.93496394473995
0.75,1.2,0.625,1.95082879865629,1.94004968090673
0.75,1.2,0.65,1.95420321962884,1.94462459634534
0.75,1.2,0.675,1.95726527371748,1.94877734016069
0.75,1.2,0.7,1.96008644032338,1.95253509676815
0.75,1.2,0.725,1.96265858502421,1.95596597449376
0.75,1.2,0.75,1.96503977226948,1.95908755210279
0.75,1.2,0.775,1.96723023634575,1.96195064456459
0.75,1.2,0.8,1.96925463474176,1.96457753830612
0.75,1.2,0.825,1.97113032484395,1.96699405230919
0.75,1.2,0.85,1.97287318210349,1.96922309166347
0.75,1.2,0.875,1.97449822826409,1.97128535995687
0.75,1.2,0.9,1.97602046421863,1.97320015472316
0.75,1.2,0.925,1.9774561136331,1.97498639284349
0.75,1.2,0.95,1.97882467718418,1.97666414453789
0.75,1.2,0.975,1.98015265591783,1.97825727712205
0.75,1.2,1,1.98148102868311,1.97979869871023
0.75,1.225,0.6,1.94795853216792,1.93564500746609
0.75,1.225,0.625,1.95163402370869,1.94071991322007
0.75,1.225,0.65,1.95501317523434,1.94530328160408
0.75,1.225,0.675,1.95806984165417,1.94944695039589
0.75,1.225,0.7,1.96089513747123,1.95321172862494
0.75,1.225,0.725,1.96346256619149,1.95663490262998
0.75,1.225,0.75,1.96584736587337,1.95976241646106
0.75,1.225,0.775,1.9680373136402,1.96262470964587
0.75,1.225,0.8,1.97006122355164,1.96525085870047
0.75,1.225,0.825,1.97193644745278,1.96766667614944
0.75,1.225,0.85,1.9736788540625,1.96989506017876
0.75,1.225,0.875,1.97530345618225,1.97195670640985
0.75,1.225,0.9,1.9768252418569,1.97387090230558
0.75,1.225,0.925,1.9782604149947,1.97565655072894
0.75,1.225,0.95,1.97962844384404,1.97733370045877
0.75,1.225,0.975,1.98095577207926,1.9789261827901
0.75,1.225,1,1.98228326631509,1.98046683863779
0.75,1.25,0.6,1.948732828402,1.93629750624891
0.75,1.25,0.625,1.9524121175453,1.94138076530241
0.75,1.25,0.65,1.95578453644975,1.94595318727127
0.75,1.25,0.675,1.9588445313865,1.95010382880767
0.75,1.25,0.7,1.961663955215,1.95385942189216
0.75,1.25,0.725,1.96423431444162,1.95728852438176
0.75,1.25,0.75,1.9666139866632,1.96040822416303
0.75,1.25,0.775,1.96880293848821,1.96326967229201
0.75,1.25,0.8,1.97082591739677,1.9658950366311
0.75,1.25,0.825,1.97270026656365,1.96831012210199
0.75,1.25,0.85,1.97444184490111,1.97053781892283
0.75,1.25,0.875,1.97606565317662,1.97259881372777
0.75,1.25,0.9,1.97758666332442,1.97451238292362
0.75,1.25,0.925,1.97902105577073,1.97629741446748
0.75,1.25,0.95,1.98038826160798,1.97797393513314
0.75,1.25,0.975,1.98171466038123,1.9795657405833
0.75,1.25,1,1.98304099565813,1.98110560758191
0.75,1.275,0.6,1.94945675402362,1.93690945998315
0.75,1.275,0.625,1.95313026912646,1.94198257252487
0.75,1.275,0.65,1.95650723567659,1.94656300067403
0.75,1.275,0.675,1.95956218062333,1.95070515192505
0.75,1.275,0.7,1.96238558217313,1.95446738862379
0.75,1.275,0.725,1.96495151740277,1.95788929260119
0.75,1.275,0.75,1.96733467467597,1.96101460231063
0.75,1.275,0.775,1.96952318671689,1.96387533232832
0.75,1.275,0.8,1.97154574953272,1.9665000277252
0.75,1.275,0.825,1.97341970146581,1.96891448760784
0.75,1.275,0.85,1.97516089557638,1.97114159599229
0.75,1.275,0.875,1.97678432486494,1.97320203237003
0.75,1.275,0.9,1.97830495009667,1.97511506412927
0.75,1.275,0.925,1.97973893449244,1.97689956667698
0.75,1.275,0.95,1.98110568084486,1.97857554757839
0.75,1.275,0.975,1.9824315185099,1.98016677017779
0.75,1.275,1,1.98375709260863,1.98170595080404
0.75,1.3,0.6,1.9501502355959,1.93749721963196
0.75,1.3,0.625,1.9538273825485,1.94257820882979
0.75,1.3,0.65,1.95719798320338,1.94714836161751
0.75,1.3,0.675,1.96025611954312,1.95129708135193
0.75,1.3,0.7,1.96307396416462,1.95505071042036
0.75,1.3,0.725,1.9656427143876,1.95847819249183
0.75,1.3,0.75,1.96802101604363,1.96159619077615
0.75,1.3,0.775,1.97020860483657,1.96445614560071
0.75,1.3,0.8,1.97223030521767,1.96708012185581
0.75,1.3,0.825,1.97410344754866,1.96949391157742
0.75,1.3,0.85,1.97584387592309,1.97172039143313
0.75,1.3,0.875,1.97746657241163,1.97378023269633
0.75,1.3,0.9,1.97898648322944,1.9756926927252
0.75,1.3,0.925,1.98041975047362,1.97747663349166
0.75,1.3,0.95,1.98178574358684,1.97915204281962
0.75,1.3,0.975,1.98311073441816,1.980742652181
0.75,1.3,1,1.98443525776291,1.98228112061145
0.75,1.325,0.6,1.95079873603854,1.9380490960953
0.75,1.325,0.625,1.95447044812107,1.94312055078603
0.75,1.325,0.65,1.95784544072993,1.94769830664512
0.75,1.325,0.675,1.96089881933764,1.95183905879737
0.75,1.325,0.7,1.96372051249215,1.95559899058832
0.75,1.325,0.725,1.9662850913073,1.95901972535112
0.75,1.325,0.75,1.9686667692154,1.96214303950778
0.75,1.325,0.775,1.97085398490542,1.96500234748663
